plot_index,row_type,pair_index,review_wall_seconds,review_reported_seconds,review_status,fix_wall_seconds,fix_status
1,matched_pair,1,161.783,,spec-completed=no,902.807,complete
2,matched_pair,2,285.002,,spec-completed=no,637.755,complete
3,matched_pair,3,218.991,,spec-completed=no,628.350,complete
4,matched_pair,4,279.963,,spec-completed=no,601.750,complete
5,matched_pair,5,263.297,,spec-completed=no,550.710,complete
6,matched_pair,6,265.725,,spec-completed=no,983.744,complete
7,matched_pair,7,347.278,,spec-completed=no,815.709,complete
8,matched_pair,8,259.853,,spec-completed=no,514.004,complete
9,matched_pair,9,236.797,,spec-completed=no,542.008,complete
10,matched_pair,10,419.080,,spec-completed=no,741.504,complete
11,matched_pair,11,252.808,,spec-completed=no,635.878,complete
12,matched_pair,12,416.744,,spec-completed=no,597.794,complete
13,matched_pair,13,624.239,,spec-completed=no,603.352,complete
14,matched_pair,14,483.213,,spec-completed=no,594.571,complete
15,matched_pair,15,313.727,,spec-completed=no,235.940,complete
16,matched_pair,16,448.746,,spec-completed=no,617.187,complete
17,matched_pair,17,461.336,,spec-completed=no,720.976,complete
18,matched_pair,18,667.692,,spec-completed=no,598.601,complete
19,matched_pair,19,393.381,,spec-completed=no,757.827,complete
20,matched_pair,20,526.815,,spec-completed=no,417.633,complete
21,matched_pair,21,641.837,,spec-completed=no,744.245,complete
22,matched_pair,22,676.462,,spec-completed=no,729.482,complete
23,matched_pair,23,576.879,,spec-completed=no,371.355,complete
24,matched_pair,24,352.175,,spec-completed=no,940.135,complete
25,matched_pair,25,516.008,,spec-completed=no,447.979,complete
26,matched_pair,26,455.472,,spec-completed=no,624.131,complete
27,matched_pair,27,667.775,,spec-completed=no,597.135,complete
28,matched_pair,28,601.234,,spec-completed=no,405.335,complete
29,matched_pair,29,520.603,,spec-completed=no,513.659,complete
30,matched_pair,30,371.774,,spec-completed=no,542.132,complete
31,matched_pair,31,651.553,,spec-completed=no,607.950,complete
32,matched_pair,32,533.118,,spec-completed=no,583.701,complete
33,matched_pair,33,614.884,,spec-completed=no,539.430,complete
34,matched_pair,34,603.844,,spec-completed=no,397.353,complete
35,matched_pair,35,489.359,,spec-completed=no,784.480,complete
36,matched_pair,36,544.158,,spec-completed=no,538.780,complete
37,matched_pair,37,461.605,,spec-completed=no,1138.994,complete
38,matched_pair,38,584.417,,spec-completed=no,473.130,complete
39,matched_pair,39,529.979,,spec-completed=no,1059.348,complete
40,matched_pair,40,480.663,,spec-completed=no,1023.202,complete
41,matched_pair,41,649.438,,spec-completed=no,389.425,complete
42,matched_pair,42,400.200,,spec-completed=no,287.944,complete
43,matched_pair,43,347.274,,spec-completed=no,208.343,complete
44,matched_pair,44,692.112,,spec-completed=no,540.761,complete
45,matched_pair,45,512.162,,spec-completed=no,519.611,complete
46,matched_pair,46,380.073,,spec-completed=no,347.645,complete
47,matched_pair,47,510.927,,spec-completed=no,600.804,complete
48,matched_pair,48,673.003,,spec-completed=no,205.056,complete
49,matched_pair,49,660.208,,spec-completed=no,654.878,complete
50,matched_pair,50,520.269,,spec-completed=no,303.923,complete
51,matched_pair,51,451.928,,spec-completed=no,856.495,complete
52,matched_pair,52,701.494,,spec-completed=no,274.151,complete
53,matched_pair,53,759.031,,spec-completed=no,480.303,complete
54,matched_pair,54,714.561,,spec-completed=no,437.037,complete
55,matched_pair,55,868.730,,spec-completed=no,501.869,complete
56,matched_pair,56,543.567,,spec-completed=no,325.087,complete
57,matched_pair,57,504.288,,spec-completed=no,324.942,complete
58,matched_pair,58,525.801,,spec-completed=no,549.567,complete
59,matched_pair,59,572.494,,spec-completed=no,254.960,complete
60,matched_pair,60,692.063,,spec-completed=no,2646.592,complete
61,matched_pair,61,582.948,,spec-completed=no,1583.431,complete
62,matched_pair,62,457.936,,spec-completed=no,615.151,complete
63,matched_pair,63,497.703,,spec-completed=no,269.555,complete
64,matched_pair,64,411.975,,spec-completed=no,221.026,complete
65,matched_pair,65,638.756,,spec-completed=no,192.540,complete
66,matched_pair,66,450.387,,spec-completed=no,233.178,complete
67,matched_pair,67,653.520,,spec-completed=no,361.098,complete
68,matched_pair,68,562.760,,spec-completed=no,132.806,complete
69,matched_pair,69,363.902,,spec-completed=no,726.518,complete
70,matched_pair,70,3396.220,,spec-completed=no,2061.734,complete
71,matched_pair,71,1822.322,,spec-completed=no,2338.699,turn_aborted
72,matched_pair,72,270.187,,spec-completed=no,128.219,turn_aborted
73,matched_pair,73,430.631,,spec-completed=no,168.847,complete
74,terminal_review,,24740.039,3335.743,spec-completed=yes,,
